FILE_SIZE,BYTES/SEC
1048576,842084.975
1048576,876615.5811
1048576,859501.9103
1048576,872196.1363
1048576,852918.9513
10485760,4289642.155
10485760,4581305.173
10485760,4417649.77
10485760,4501367.484
10485760,4257002.841
104857600,8697218.717
104857600,8873088.574
104857600,8798601.724
104857600,8775221.808
104857600,8775246.043
1048576000,9381991.331
1048576000,9476628
1048576000,9600345.305
1048576000,9432359.725
1048576000,9484184.498
10485760000,9411878.051
10485760000,9458713.157
10485760000,9267479.498
10485760000,9776154.046
10485760000,9482581.789
